name,source,status
NAND2BD2,sky130_fd_sc_hd__nand2b_2,ok
NAND2BD4,sky130_fd_sc_hd__nand2b_4,ok
NAND3D1,sky130_fd_sc_hd__nand3_1,ok
NAND3D2,sky130_fd_sc_hd__nand3_2,ok
NAND3D4,sky130_fd_sc_hd__nand3_4,ok
NAND3BD1,sky130_fd_sc_hd__nand3b_1,ok
NAND3BD2,sky130_fd_sc_hd__nand3b_2,ok
NAND3BD4,sky130_fd_sc_hd__nand3b_4,ok
NAND4D1,sky130_fd_sc_hd__nand4_1,ok
NAND4D2,sky130_fd_sc_hd__nand4_2,ok
NAND4D4,sky130_fd_sc_hd__nand4_4,ok
NAND4BD1,sky130_fd_sc_hd__nand4b_1,ok
NAND4BD2,sky130_fd_sc_hd__nand4b_2,ok
NAND4BD4,sky130_fd_sc_hd__nand4b_4,ok
NAND4BBD1,sky130_fd_sc_hd__nand4bb_1,ok
NAND4BBD2,sky130_fd_sc_hd__nand4bb_2,ok
NAND4BBD4,sky130_fd_sc_hd__nand4bb_4,ok
NOR2D1,sky130_fd_sc_hd__nor2_1,ok
NOR2D2,sky130_fd_sc_hd__nor2_2,ok
NOR2D4,sky130_fd_sc_hd__nor2_4,ok
NOR2D8,sky130_fd_sc_hd__nor2_8,ok
NOR2BD1,sky130_fd_sc_hd__nor2b_1,ok
NOR2BD2,sky130_fd_sc_hd__nor2b_2,ok
NOR2BD4,sky130_fd_sc_hd__nor2b_4,ok
NOR3D1,sky130_fd_sc_hd__nor3_1,ok
NOR3D2,sky130_fd_sc_hd__nor3_2,ok
NOR3D4,sky130_fd_sc_hd__nor3_4,ok
NOR3BD1,sky130_fd_sc_hd__nor3b_1,ok
NOR3BD2,sky130_fd_sc_hd__nor3b_2,ok
NOR3BD4,sky130_fd_sc_hd__nor3b_4,ok
NOR4D1,sky130_fd_sc_hd__nor4_1,ok
NOR4D2,sky130_fd_sc_hd__nor4_2,ok
NOR4D4,sky130_fd_sc_hd__nor4_4,ok
NOR4BD1,sky130_fd_sc_hd__nor4b_1,ok
NOR4BD2,sky130_fd_sc_hd__nor4b_2,ok
NOR4BD4,sky130_fd_sc_hd__nor4b_4,ok
NOR4BBD1,sky130_fd_sc_hd__nor4bb_1,ok
NOR4BBD2,sky130_fd_sc_hd__nor4bb_2,ok
NOR4BBD4,sky130_fd_sc_hd__nor4bb_4,ok
O2111AD1,sky130_fd_sc_hd__o2111a_1,ok
O2111AD2,sky130_fd_sc_hd__o2111a_2,ok
O2111AD4,sky130_fd_sc_hd__o2111a_4,ok
O2111AID1,sky130_fd_sc_hd__o2111ai_1,ok
O2111AID2,sky130_fd_sc_hd__o2111ai_2,ok
O2111AID4,sky130_fd_sc_hd__o2111ai_4,ok
O211AD1,sky130_fd_sc_hd__o211a_1,ok
O211AD2,sky130_fd_sc_hd__o211a_2,ok
O211AD4,sky130_fd_sc_hd__o211a_4,ok
O211AID1,sky130_fd_sc_hd__o211ai_1,ok
O211AID2,sky130_fd_sc_hd__o211ai_2,ok
O211AID4,sky130_fd_sc_hd__o211ai_4,ok
O21AD1,sky130_fd_sc_hd__o21a_1,ok
O21AD2,sky130_fd_sc_hd__o21a_2,ok
O21AD4,sky130_fd_sc_hd__o21a_4,ok
O21AID0,sky130_fd_sc_hd__o21ai_0,ok
O21AID1,sky130_fd_sc_hd__o21ai_1,ok
O21AID2,sky130_fd_sc_hd__o21ai_2,ok
O21AID4,sky130_fd_sc_hd__o21ai_4,ok
O21BAD1,sky130_fd_sc_hd__o21ba_1,ok
O21BAD2,sky130_fd_sc_hd__o21ba_2,ok
O21BAD4,sky130_fd_sc_hd__o21ba_4,ok
O21BAID1,sky130_fd_sc_hd__o21bai_1,ok
O21BAID2,sky130_fd_sc_hd__o21bai_2,ok
O21BAID4,sky130_fd_sc_hd__o21bai_4,ok
O221AD1,sky130_fd_sc_hd__o221a_1,ok
O221AD2,sky130_fd_sc_hd__o221a_2,ok
O221AD4,sky130_fd_sc_hd__o221a_4,ok
O221AID1,sky130_fd_sc_hd__o221ai_1,ok
O221AID2,sky130_fd_sc_hd__o221ai_2,ok
O221AID4,sky130_fd_sc_hd__o221ai_4,ok
O22AD1,sky130_fd_sc_hd__o22a_1,ok
O22AD2,sky130_fd_sc_hd__o22a_2,ok
O22AD4,sky130_fd_sc_hd__o22a_4,ok
O22AID1,sky130_fd_sc_hd__o22ai_1,ok
O22AID2,sky130_fd_sc_hd__o22ai_2,ok
O22AID4,sky130_fd_sc_hd__o22ai_4,ok
O2BB2AD1,sky130_fd_sc_hd__o2bb2a_1,ok
O2BB2AD2,sky130_fd_sc_hd__o2bb2a_2,ok
O2BB2AD4,sky130_fd_sc_hd__o2bb2a_4,ok
O2BB2AID1,sky130_fd_sc_hd__o2bb2ai_1,ok
O2BB2AID2,sky130_fd_sc_hd__o2bb2ai_2,ok
O2BB2AID4,sky130_fd_sc_hd__o2bb2ai_4,ok
O311AD1,sky130_fd_sc_hd__o311a_1,ok
O311AD2,sky130_fd_sc_hd__o311a_2,ok
O311AD4,sky130_fd_sc_hd__o311a_4,ok
O311AID0,sky130_fd_sc_hd__o311ai_0,ok
O311AID1,sky130_fd_sc_hd__o311ai_1,ok
O311AID2,sky130_fd_sc_hd__o311ai_2,ok
O311AID4,sky130_fd_sc_hd__o311ai_4,ok
O31AD1,sky130_fd_sc_hd__o31a_1,ok
O31AD2,sky130_fd_sc_hd__o31a_2,ok
O31AD4,sky130_fd_sc_hd__o31a_4,ok
O31AID1,sky130_fd_sc_hd__o31ai_1,ok
O31AID2,sky130_fd_sc_hd__o31ai_2,ok
O31AID4,sky130_fd_sc_hd__o31ai_4,ok
O32AD1,sky130_fd_sc_hd__o32a_1,ok
O32AD2,sky130_fd_sc_hd__o32a_2,ok
O32AD4,sky130_fd_sc_hd__o32a_4,ok
O32AID1,sky130_fd_sc_hd__o32ai_1,ok
O32AID2,sky130_fd_sc_hd__o32ai_2,ok
O32AID4,sky130_fd_sc_hd__o32ai_4,ok
O41AD1,sky130_fd_sc_hd__o41a_1,ok
O41AD2,sky130_fd_sc_hd__o41a_2,ok
O41AD4,sky130_fd_sc_hd__o41a_4,ok
O41AID1,sky130_fd_sc_hd__o41ai_1,ok
O41AID2,sky130_fd_sc_hd__o41ai_2,ok
O41AID4,sky130_fd_sc_hd__o41ai_4,ok
OR2D0,sky130_fd_sc_hd__or2_0,ok
OR2D1,sky130_fd_sc_hd__or2_1,ok
OR2D2,sky130_fd_sc_hd__or2_2,ok
OR2D4,sky130_fd_sc_hd__or2_4,ok
OR2BD1,sky130_fd_sc_hd__or2b_1,ok
OR2BD2,sky130_fd_sc_hd__or2b_2,ok
OR2BD4,sky130_fd_sc_hd__or2b_4,ok
OR3D1,sky130_fd_sc_hd__or3_1,ok
OR3D2,sky130_fd_sc_hd__or3_2,ok
OR3D4,sky130_fd_sc_hd__or3_4,ok
OR3BD1,sky130_fd_sc_hd__or3b_1,ok
OR3BD2,sky130_fd_sc_hd__or3b_2,ok
OR3BD4,sky130_fd_sc_hd__or3b_4,ok
OR4D1,sky130_fd_sc_hd__or4_1,ok
OR4D2,sky130_fd_sc_hd__or4_2,ok
OR4D4,sky130_fd_sc_hd__or4_4,ok
OR4BD1,sky130_fd_sc_hd__or4b_1,ok
OR4BD2,sky130_fd_sc_hd__or4b_2,ok
OR4BD4,sky130_fd_sc_hd__or4b_4,ok
OR4BBD1,sky130_fd_sc_hd__or4bb_1,ok
OR4BBD2,sky130_fd_sc_hd__or4bb_2,ok
OR4BBD4,sky130_fd_sc_hd__or4bb_4,ok
PROBE_PD8,sky130_fd_sc_hd__probe_p_8,ok
PROBEC_PD8,sky130_fd_sc_hd__probec_p_8,ok
SDFBBND1,sky130_fd_sc_hd__sdfbbn_1,ok
SDFBBND2,sky130_fd_sc_hd__sdfbbn_2,ok
SDFBBPD1,sky130_fd_sc_hd__sdfbbp_1,ok
SDFRBPD1,sky130_fd_sc_hd__sdfrbp_1,ok
SDFRBPD2,sky130_fd_sc_hd__sdfrbp_2,ok
SDFRTND1,sky130_fd_sc_hd__sdfrtn_1,ok
SDFRTPD1,sky130_fd_sc_hd__sdfrtp_1,ok
SDFRTPD2,sky130_fd_sc_hd__sdfrtp_2,ok
SDFRTPD4,sky130_fd_sc_hd__sdfrtp_4,ok
SDFSBPD1,sky130_fd_sc_hd__sdfsbp_1,ok
SDFSBPD2,sky130_fd_sc_hd__sdfsbp_2,ok
SDFSTPD1,sky130_fd_sc_hd__sdfstp_1,ok
SDFSTPD2,sky130_fd_sc_hd__sdfstp_2,ok
SDFSTPD4,sky130_fd_sc_hd__sdfstp_4,ok
SDFXBPD1,sky130_fd_sc_hd__sdfxbp_1,ok
